,0,1
0,22.845309533307358,24.0
1,26.12926558168155,21.6
2,28.761129236528383,34.7
3,28.858831686585557,33.4
4,28.239844429106178,36.2
5,27.732324527478333,28.7
6,22.55832481749706,22.9
7,21.148154109463803,27.1
8,14.055008298410932,16.5
9,21.734720962883078,18.9
10,20.674785783488396,15.0
11,23.808757017617495,18.9
12,18.163796683915166,21.7
13,25.552336717854754,20.4
14,25.58532576410717,18.2
15,24.69768060035561,19.9
16,23.71793411202472,23.1
17,22.525565784426355,17.5
18,17.76038516807469,20.2
19,23.118296102007804,18.2
20,18.68273148322768,13.6
21,23.488274900865832,19.6
22,20.91630727381965,15.2
23,20.49698280581861,14.5
24,22.656646743151033,15.6
25,19.459610327189644,13.9
26,22.992921418654596,16.6
27,19.8031530413378,14.8
28,25.395174684087266,18.4
29,25.206683799311328,21.0
30,17.580510267842982,12.7
31,24.602385878861732,14.5
32,10.672547527535965,13.2
33,19.83730582677101,13.1
34,16.603857010493755,13.5
35,23.886366969139793,18.9
36,21.78123176128264,20.0
37,22.841991032119033,21.0
38,21.153164168417263,24.7
39,32.302101983735085,30.8
40,33.80195971661438,34.9
41,24.890279733932463,26.6
42,23.805318374518386,25.3
43,23.103811646982773,24.7
44,23.998410023454497,21.2
45,22.34081167904077,19.3
46,20.013873985560345,20.0
47,21.68039546509991,16.6
48,14.539522507460998,14.4
49,21.452203679579668,19.4
50,24.283442926202,19.7
51,28.168169794645245,20.5
52,28.15953661829702,25.0
53,25.643545931423034,23.4
54,21.70712787841888,18.9
55,38.458022281817314,35.4
56,31.707149604936188,24.7
57,37.78772243727053,31.6
58,30.79185132717094,23.3
59,29.846496371899345,19.6
60,28.81058718418606,18.7
61,29.566335146573756,16.0
62,33.7550228673004,22.2
63,31.207115443154464,25.0
64,31.116014969527605,33.0
65,29.054035808701315,23.5
66,26.02479201462932,19.4
67,21.68858520700144,22.0
68,19.437211651730184,17.4
69,22.136557495124897,20.9
70,23.299604389330195,24.2
71,21.460644593916477,21.7
72,23.868999993059514,22.8
73,22.399456784150583,23.4
74,19.920413843806372,24.1
75,21.41885519799223,21.4
76,21.141560046762045,20.0
77,20.24230300690888,20.8
78,20.407316530256686,21.2
